
--- chase, drag +300 px, button held still 5000 ms
  elapsed   rawDt   inYaw   lookYaw
     55.87  0.1411       0    0.0158
    55.971  0.0168       0    0.0151
    56.104  0.0501       0    0.0141
    56.253  0.0829       0    0.0131
    56.353  0.0163       0    0.0124
    56.453  0.0503       0    0.0119
     56.62  0.0505       0    0.0109
    56.737  0.0501       0    0.0103
     56.97  0.1509       0    0.0091
    57.036  0.0146       0    0.0088
    57.219  0.0668       0    0.0081
     57.37  0.0339       0    0.0075
    57.469  0.0167       0    0.0071
    57.553  0.0164       0    0.0069
     57.66  0.0582       0    0.0065
     57.96  0.2681       0    0.0055
  frames 663  input total -0.840 rad  peak lookYaw 0.741  final 0.005  decay from peak 99.3%
